PostId,PostTypeId,CreationDate,UserId,Tags,Comments,ParentId,Acceptance,Upvotes,Downvotes,UserDate,LastAccess,Reputation,Badges,ViewCount,SourceId
27,1,2012-12-11T21:53:18.750,27,<discussion>,,,0.0,11.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,798,anime.meta.stackexchange
32,1,2012-12-11T21:58:25.180,27,<support><moderation>,3.0,,0.0,3.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,64,anime.meta.stackexchange
35,1,2012-12-11T22:00:45.083,20,<discussion><tags>,3.0,,0.0,12.0,0.0,2012-12-11T20:28:02.000,2019-10-30T20:20:57.410,1131,17.0,154,anime.meta.stackexchange
36,1,2012-12-11T22:02:42.310,,<discussion>,2.0,,0.0,1.0,0.0,,,,,92,anime.meta.stackexchange
38,1,2012-12-11T22:07:25.860,20,<discussion><tags>,2.0,,0.0,3.0,0.0,2012-12-11T20:28:02.000,2019-10-30T20:20:57.410,1131,17.0,66,anime.meta.stackexchange
46,1,2012-12-11T22:16:29.850,62,<discussion><faq><spoilers>,3.0,,0.0,27.0,0.0,2012-12-11T21:44:32.000,2022-02-03T17:16:52.200,1509,30.0,2771,anime.meta.stackexchange
51,1,2012-12-11T22:23:31.830,31,<discussion>,5.0,,0.0,2.0,3.0,2012-12-11T20:37:50.000,2015-05-16T15:25:31.107,1389,10.0,52,anime.meta.stackexchange
56,1,2012-12-11T22:33:22.350,22,<discussion>,1.0,,0.0,14.0,1.0,2012-12-11T20:29:45.000,2013-01-04T00:36:20.367,1404,12.0,147,anime.meta.stackexchange
60,1,2012-12-11T23:44:44.607,51,<discussion><tags>,,,0.0,2.0,1.0,2012-12-11T21:12:27.000,2022-11-30T20:02:37.577,1378,16.0,58,anime.meta.stackexchange
66,1,2012-12-12T01:24:20.157,62,<discussion><tags>,,,0.0,11.0,0.0,2012-12-11T21:44:32.000,2022-02-03T17:16:52.200,1509,30.0,161,anime.meta.stackexchange
67,1,2012-12-12T01:29:58.177,63,<discussion><allowed-topics>,,,0.0,3.0,0.0,2012-12-11T21:44:54.000,2024-08-02T12:29:57.593,42611,102.0,129,anime.meta.stackexchange
69,1,2012-12-12T01:58:17.367,24,<discussion>,2.0,,0.0,9.0,0.0,2012-12-11T20:32:13.000,2024-08-01T23:05:39.790,28463,79.0,566,anime.meta.stackexchange
74,1,2012-12-12T02:22:02.480,102,<discussion><allowed-topics>,5.0,,0.0,11.0,0.0,2012-12-12T01:57:30.000,2023-12-12T16:49:45.157,6860,35.0,559,anime.meta.stackexchange
75,1,2012-12-12T02:30:06.677,97,<discussion>,1.0,,0.0,1.0,0.0,2012-12-12T01:00:59.000,2013-04-29T12:21:59.197,2399,15.0,76,anime.meta.stackexchange
81,1,2012-12-12T08:33:27.390,20,<discussion><allowed-topics>,4.0,,0.0,3.0,0.0,2012-12-11T20:28:02.000,2019-10-30T20:20:57.410,1131,17.0,234,anime.meta.stackexchange
84,1,2012-12-12T09:20:47.660,28,<discussion><tags><tag-synonyms><lumping-and-splitting>,1.0,,0.0,2.0,0.0,2012-12-11T20:36:07.000,2013-01-22T19:23:00.813,1350,16.0,79,anime.meta.stackexchange
85,1,2012-12-12T09:21:58.133,20,<discussion><tags>,1.0,,0.0,1.0,0.0,2012-12-11T20:28:02.000,2019-10-30T20:20:57.410,1131,17.0,59,anime.meta.stackexchange
90,1,2012-12-12T10:06:35.147,111,<discussion><tags>,,,0.0,4.0,2.0,2012-12-12T05:19:54.000,2018-09-12T07:33:34.293,9401,31.0,84,anime.meta.stackexchange
94,1,2012-12-12T13:25:21.900,128,<discussion><tags>,,,0.0,2.0,0.0,2012-12-12T08:41:45.000,2014-12-28T11:18:54.410,681,12.0,32,anime.meta.stackexchange
95,1,2012-12-12T13:29:53.733,28,<feature-request><status-declined><spoilers>,2.0,,0.0,4.0,2.0,2012-12-11T20:36:07.000,2013-01-22T19:23:00.813,1350,16.0,112,anime.meta.stackexchange
100,1,2012-12-12T14:50:45.663,27,<discussion><feature-request><spoilers>,1.0,,0.0,7.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,137,anime.meta.stackexchange
108,1,2012-12-12T16:39:33.913,107,<feature-request><tags>,,,0.0,4.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,68,anime.meta.stackexchange
112,1,2012-12-12T17:19:17.810,107,<discussion><questions>,,,0.0,8.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,201,anime.meta.stackexchange
115,1,2012-12-12T17:52:43.383,27,<discussion><faq><allowed-topics>,,,0.0,9.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,125,anime.meta.stackexchange
117,1,2012-12-12T19:31:23.043,20,<discussion><allowed-topics>,,,0.0,16.0,0.0,2012-12-11T20:28:02.000,2019-10-30T20:20:57.410,1131,17.0,477,anime.meta.stackexchange
122,1,2012-12-12T20:03:35.233,49,<discussion><tags>,2.0,,0.0,3.0,0.0,2012-12-11T21:07:08.000,2024-07-05T11:11:57.827,17992,57.0,69,anime.meta.stackexchange
125,1,2012-12-12T21:29:50.723,93,<discussion><tags>,2.0,,0.0,3.0,0.0,2012-12-12T00:28:02.000,2019-12-24T16:29:05.197,23731,22.0,40,anime.meta.stackexchange
128,1,2012-12-12T22:18:34.283,107,<feature-request><status-completed><tags>,3.0,,0.0,6.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,65,anime.meta.stackexchange
129,1,2012-12-12T22:24:37.837,24,<discussion>,,,0.0,5.0,0.0,2012-12-11T20:32:13.000,2024-08-01T23:05:39.790,28463,79.0,79,anime.meta.stackexchange
131,1,2012-12-13T01:39:54.480,107,<feature-request><status-completed><tags>,3.0,,0.0,4.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,41,anime.meta.stackexchange
133,1,2012-12-13T10:38:55.513,128,<discussion><allowed-topics>,4.0,,0.0,6.0,0.0,2012-12-12T08:41:45.000,2014-12-28T11:18:54.410,681,12.0,244,anime.meta.stackexchange
135,1,2012-12-13T11:04:21.890,128,<discussion><design>,1.0,,0.0,17.0,2.0,2012-12-12T08:41:45.000,2014-12-28T11:18:54.410,681,12.0,697,anime.meta.stackexchange
136,1,2012-12-13T12:09:37.050,111,<discussion><tags>,,,0.0,4.0,0.0,2012-12-12T05:19:54.000,2018-09-12T07:33:34.293,9401,31.0,57,anime.meta.stackexchange
145,1,2012-12-13T16:37:20.760,122,<discussion><allowed-topics>,7.0,,0.0,5.0,8.0,2012-12-12T07:32:15.000,2019-05-16T14:49:29.907,11115,24.0,135,anime.meta.stackexchange
150,1,2012-12-13T18:31:18.350,62,<discussion><questions><acceptable-questions>,7.0,,0.0,13.0,2.0,2012-12-11T21:44:32.000,2022-02-03T17:16:52.200,1509,30.0,497,anime.meta.stackexchange
153,1,2012-12-13T19:44:12.817,24,<discussion>,2.0,,0.0,9.0,0.0,2012-12-11T20:32:13.000,2024-08-01T23:05:39.790,28463,79.0,369,anime.meta.stackexchange
156,1,2012-12-13T21:31:11.680,49,<discussion><feature-request>,1.0,,0.0,6.0,0.0,2012-12-11T21:07:08.000,2024-07-05T11:11:57.827,17992,57.0,134,anime.meta.stackexchange
157,1,2012-12-14T00:02:38.130,66,<discussion>,1.0,,0.0,6.0,0.0,2012-12-11T21:49:27.000,2016-05-18T17:40:21.510,2433,15.0,276,anime.meta.stackexchange
161,1,2012-12-14T04:47:56.030,107,<discussion><tags>,,,0.0,1.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,49,anime.meta.stackexchange
163,1,2012-12-14T07:36:38.667,88,<discussion>,10.0,,0.0,3.0,0.0,2012-12-11T23:24:35.000,2019-12-12T23:57:40.923,11326,18.0,99,anime.meta.stackexchange
169,1,2012-12-14T09:43:49.260,111,<discussion><tags>,,,0.0,2.0,0.0,2012-12-12T05:19:54.000,2018-09-12T07:33:34.293,9401,31.0,39,anime.meta.stackexchange
173,1,2012-12-14T10:17:41.980,128,<discussion><allowed-topics>,2.0,,0.0,4.0,0.0,2012-12-12T08:41:45.000,2014-12-28T11:18:54.410,681,12.0,72,anime.meta.stackexchange
174,1,2012-12-14T10:37:55.453,85,<discussion><asking-questions>,3.0,,0.0,2.0,0.0,2012-12-11T23:02:37.000,2017-12-12T05:12:01.503,5611,20.0,59,anime.meta.stackexchange
181,1,2012-12-14T18:19:10.863,40,<feature-request><status-declined><tag-synonyms>,2.0,,0.0,1.0,1.0,2012-12-11T20:58:44.000,2012-12-18T21:07:38.187,183,3.0,54,anime.meta.stackexchange
184,1,2012-12-14T20:37:30.430,126,<discussion>,1.0,,0.0,1.0,0.0,2012-12-12T08:17:32.000,2017-01-13T07:01:33.037,949,14.0,55,anime.meta.stackexchange
186,1,2012-12-15T05:11:33.820,24,<discussion><tags>,,,0.0,5.0,0.0,2012-12-11T20:32:13.000,2024-08-01T23:05:39.790,28463,79.0,85,anime.meta.stackexchange
190,1,2012-12-15T10:54:39.933,128,<discussion><allowed-topics>,,,0.0,3.0,0.0,2012-12-12T08:41:45.000,2014-12-28T11:18:54.410,681,12.0,117,anime.meta.stackexchange
191,1,2012-12-15T11:03:14.370,15,<discussion><references>,3.0,,0.0,3.0,0.0,2012-12-11T20:24:04.000,2017-07-09T19:13:38.283,5218,29.0,117,anime.meta.stackexchange
192,1,2012-12-15T11:09:36.213,15,<discussion><chat>,7.0,,0.0,11.0,0.0,2012-12-11T20:24:04.000,2017-07-09T19:13:38.283,5218,29.0,5968,anime.meta.stackexchange
193,1,2012-12-15T11:19:10.930,98,<discussion>,,,0.0,6.0,0.0,2012-12-12T01:02:28.000,2017-07-18T09:51:17.393,3061,21.0,103,anime.meta.stackexchange
207,1,2012-12-15T23:49:45.950,85,<feature-request><status-declined><tags>,10.0,,0.0,1.0,10.0,2012-12-11T23:02:37.000,2017-12-12T05:12:01.503,5611,20.0,107,anime.meta.stackexchange
210,1,2012-12-16T03:51:21.160,186,<feature-request><status-completed><retagging>,4.0,,0.0,4.0,0.0,2012-12-16T03:34:28.000,2012-12-17T05:59:23.290,343,5.0,52,anime.meta.stackexchange
211,1,2012-12-16T03:51:46.243,175,<discussion><spoilers>,,,0.0,9.0,0.0,2012-12-15T09:22:06.000,2012-12-19T02:30:41.577,2570,14.0,229,anime.meta.stackexchange
212,1,2012-12-16T04:17:24.100,24,<discussion><status-completed><tags><tag-synonyms><lumping-and-splitting>,,,0.0,3.0,0.0,2012-12-11T20:32:13.000,2024-08-01T23:05:39.790,28463,79.0,85,anime.meta.stackexchange
222,1,2012-12-16T19:10:49.427,49,<discussion><tags>,3.0,,0.0,3.0,0.0,2012-12-11T21:07:08.000,2024-07-05T11:11:57.827,17992,57.0,108,anime.meta.stackexchange
225,1,2012-12-17T09:31:04.583,126,<feature-request><moderation>,1.0,,0.0,9.0,0.0,2012-12-12T08:17:32.000,2017-01-13T07:01:33.037,949,14.0,77,anime.meta.stackexchange
229,1,2012-12-17T11:23:26.920,122,<discussion><tags>,,,0.0,4.0,0.0,2012-12-12T07:32:15.000,2019-05-16T14:49:29.907,11115,24.0,45,anime.meta.stackexchange
231,1,2012-12-17T13:01:06.777,122,<discussion><allowed-topics>,,,0.0,6.0,0.0,2012-12-12T07:32:15.000,2019-05-16T14:49:29.907,11115,24.0,209,anime.meta.stackexchange
239,1,2012-12-17T21:09:14.720,78,<discussion><allowed-topics>,,,0.0,8.0,1.0,2012-12-11T22:49:53.000,2019-11-14T21:26:34.160,101,4.0,150,anime.meta.stackexchange
243,1,2012-12-18T01:09:02.833,88,<discussion><allowed-topics>,4.0,,0.0,2.0,0.0,2012-12-11T23:24:35.000,2019-12-12T23:57:40.923,11326,18.0,91,anime.meta.stackexchange
246,1,2012-12-18T08:14:04.677,47,<discussion>,4.0,,0.0,11.0,0.0,2012-12-11T21:05:45.000,2015-02-04T06:07:07.913,1804,16.0,241,anime.meta.stackexchange
249,1,2012-12-18T09:50:41.793,126,<discussion><allowed-topics>,2.0,,0.0,13.0,0.0,2012-12-12T08:17:32.000,2017-01-13T07:01:33.037,949,14.0,157,anime.meta.stackexchange
255,1,2012-12-18T17:21:50.093,15,<discussion><moderators>,,,0.0,12.0,0.0,2012-12-11T20:24:04.000,2017-07-09T19:13:38.283,5218,29.0,509,anime.meta.stackexchange
265,1,2012-12-18T21:26:46.480,93,<discussion>,1.0,,0.0,5.0,0.0,2012-12-12T00:28:02.000,2019-12-24T16:29:05.197,23731,22.0,209,anime.meta.stackexchange
267,1,2012-12-18T22:54:53.807,93,<discussion><allowed-topics>,,,0.0,5.0,0.0,2012-12-12T00:28:02.000,2019-12-24T16:29:05.197,23731,22.0,202,anime.meta.stackexchange
271,1,2012-12-19T15:22:54.343,207,<discussion><allowed-topics>,2.0,,0.0,2.0,0.0,2012-12-18T22:20:53.000,2012-12-22T21:17:25.690,111,3.0,58,anime.meta.stackexchange
275,1,2012-12-19T21:20:19.960,107,<feature-request><tags>,3.0,,0.0,2.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,115,anime.meta.stackexchange
276,1,2012-12-19T21:21:39.087,107,<feature-request><tags>,2.0,,0.0,9.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,60,anime.meta.stackexchange
277,1,2012-12-19T21:22:49.290,107,<support><status-completed><tags><retagging>,,,0.0,6.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,52,anime.meta.stackexchange
281,5,2012-12-20T02:49:05.107,-1,,,,,,,2012-12-11T18:19:06.000,2012-12-11T18:19:14.610,1,,0,anime.meta.stackexchange
282,4,2012-12-20T02:49:05.107,62,,,,0.0,0.0,0.0,2012-12-11T21:44:32.000,2022-02-03T17:16:52.200,1509,30.0,0,anime.meta.stackexchange
284,1,2012-12-20T13:47:54.047,111,<discussion>,1.0,,0.0,3.0,0.0,2012-12-12T05:19:54.000,2018-09-12T07:33:34.293,9401,31.0,61,anime.meta.stackexchange
287,1,2012-12-20T16:08:37.863,63,<discussion><site-promotion>,,,0.0,10.0,0.0,2012-12-11T21:44:54.000,2024-08-02T12:29:57.593,42611,102.0,119,anime.meta.stackexchange
292,1,2012-12-21T09:54:55.480,32,<discussion><references>,2.0,,0.0,3.0,0.0,2012-12-11T20:42:57.000,2014-02-20T10:26:16.510,522,7.0,66,anime.meta.stackexchange
296,1,2012-12-21T21:38:56.587,93,<discussion>,,,0.0,3.0,0.0,2012-12-12T00:28:02.000,2019-12-24T16:29:05.197,23731,22.0,124,anime.meta.stackexchange
301,1,2012-12-25T02:28:09.450,63,<discussion><support><tags>,,,0.0,1.0,0.0,2012-12-11T21:44:54.000,2024-08-02T12:29:57.593,42611,102.0,66,anime.meta.stackexchange
303,1,2012-12-25T10:41:23.840,222,<discussion><questions><specific-question>,,,0.0,4.0,0.0,2012-12-19T12:38:42.000,2013-01-06T16:09:01.723,1162,10.0,250,anime.meta.stackexchange
308,1,2012-12-27T21:26:29.320,274,<discussion><tags><tag-synonyms><lumping-and-splitting>,2.0,,0.0,5.0,0.0,2012-12-26T19:18:48.000,2023-05-12T21:22:24.990,29527,42.0,169,anime.meta.stackexchange
310,1,2012-12-30T12:29:34.190,99,<support>,,,0.0,3.0,0.0,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,64,anime.meta.stackexchange
313,1,2012-12-31T02:05:57.237,24,<support>,,,0.0,4.0,0.0,2012-12-11T20:32:13.000,2024-08-01T23:05:39.790,28463,79.0,68,anime.meta.stackexchange
315,1,2013-01-04T12:44:13.923,27,<support>,,,0.0,2.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,57,anime.meta.stackexchange
317,1,2013-01-09T16:40:13.480,63,<discussion><external-links>,1.0,,0.0,3.0,0.0,2012-12-11T21:44:54.000,2024-08-02T12:29:57.593,42611,102.0,125,anime.meta.stackexchange
319,1,2013-01-09T19:22:26.010,122,<discussion>,,,0.0,2.0,2.0,2012-12-12T07:32:15.000,2019-05-16T14:49:29.907,11115,24.0,48,anime.meta.stackexchange
323,1,2013-01-12T10:26:39.907,27,<discussion><title-wording>,,,0.0,7.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,77,anime.meta.stackexchange
325,1,2013-01-16T01:03:45.690,93,<feature-request><status-completed>,7.0,,0.0,1.0,0.0,2012-12-12T00:28:02.000,2019-12-24T16:29:05.197,23731,22.0,133,anime.meta.stackexchange
327,1,2013-01-16T09:17:49.260,91,<discussion><status-completed><tags><identification-questions>,1.0,,0.0,5.0,0.0,2012-12-12T00:07:50.000,2021-11-30T03:02:17.710,28311,23.0,313,anime.meta.stackexchange
329,1,2013-01-18T19:12:35.133,49,<support><status-completed>,4.0,,0.0,3.0,0.0,2012-12-11T21:07:08.000,2024-07-05T11:11:57.827,17992,57.0,128,anime.meta.stackexchange
331,1,2013-01-19T02:20:37.247,128,<discussion><allowed-topics>,3.0,,0.0,1.0,0.0,2012-12-12T08:41:45.000,2014-12-28T11:18:54.410,681,12.0,72,anime.meta.stackexchange
334,1,2013-01-20T04:43:59.057,274,<discussion>,4.0,,0.0,7.0,0.0,2012-12-26T19:18:48.000,2023-05-12T21:22:24.990,29527,42.0,146,anime.meta.stackexchange
339,1,2013-01-29T05:50:56.717,5,<discussion><moderators>,3.0,,0.0,9.0,0.0,2012-12-11T20:06:32.000,2023-11-14T22:20:41.093,101,10.0,284,anime.meta.stackexchange
341,1,2013-01-29T11:47:48.830,27,<discussion><tags>,2.0,,0.0,2.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,61,anime.meta.stackexchange
344,1,2013-01-29T15:04:24.917,27,<support><faq><asking-questions>,3.0,,0.0,3.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,69,anime.meta.stackexchange
346,1,2013-01-30T13:25:22.663,99,<discussion>,2.0,,0.0,7.0,0.0,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,89,anime.meta.stackexchange
348,1,2013-01-30T22:58:41.740,27,<discussion><questions><policies><chat-sessions><list-questions>,8.0,,0.0,21.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,1257,anime.meta.stackexchange
350,1,2013-01-31T18:49:01.010,27,<discussion><status-completed><chat-sessions>,,,0.0,2.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,60,anime.meta.stackexchange
352,1,2013-01-31T19:22:32.000,1354,<discussion>,,,0.0,4.0,0.0,2013-01-18T18:56:59.000,2013-12-06T18:21:24.387,1322,10.0,84,anime.meta.stackexchange
355,1,2013-01-31T22:51:37.753,27,<discussion><chat-sessions>,2.0,,0.0,9.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,180,anime.meta.stackexchange
356,1,2013-01-31T22:59:58.167,93,<discussion>,1.0,,0.0,6.0,0.0,2012-12-12T00:28:02.000,2019-12-24T16:29:05.197,23731,22.0,108,anime.meta.stackexchange
359,1,2013-02-01T09:20:01.447,17,<discussion><status-completed><retagging>,1.0,,0.0,2.0,0.0,2012-12-11T20:25:35.000,2020-10-20T05:32:56.853,7418,28.0,193,anime.meta.stackexchange
364,1,2013-02-01T15:36:44.700,49,<discussion><site-promotion>,8.0,,0.0,6.0,0.0,2012-12-11T21:07:08.000,2024-07-05T11:11:57.827,17992,57.0,219,anime.meta.stackexchange
366,1,2013-02-02T19:30:46.340,17,<discussion><status-completed><retagging>,,,0.0,2.0,0.0,2012-12-11T20:25:35.000,2020-10-20T05:32:56.853,7418,28.0,80,anime.meta.stackexchange
370,1,2013-02-04T13:44:46.557,99,<discussion>,,,0.0,2.0,0.0,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,93,anime.meta.stackexchange
372,1,2013-02-05T11:42:15.703,122,<support><tag-excerpts>,1.0,,0.0,3.0,0.0,2012-12-12T07:32:15.000,2019-05-16T14:49:29.907,11115,24.0,61,anime.meta.stackexchange
374,1,2013-02-08T05:57:45.607,88,<discussion><allowed-topics>,,,0.0,1.0,0.0,2012-12-11T23:24:35.000,2019-12-12T23:57:40.923,11326,18.0,54,anime.meta.stackexchange
376,1,2013-02-08T07:57:30.143,99,<discussion><tags>,,,0.0,2.0,0.0,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,53,anime.meta.stackexchange
378,1,2013-02-08T09:58:08.017,99,<bug><status-bydesign><badges>,,,0.0,2.0,0.0,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,40,anime.meta.stackexchange
381,1,2013-02-08T14:55:32.520,99,<support>,,,0.0,1.0,0.0,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,59,anime.meta.stackexchange
383,1,2013-02-09T21:50:19.390,27,<bug><status-completed><design><editor>,2.0,,0.0,1.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,47,anime.meta.stackexchange
385,1,2013-02-11T12:43:48.063,111,<discussion><faq><tags><tag-wiki><tag-excerpts>,1.0,,0.0,14.0,0.0,2012-12-12T05:19:54.000,2018-09-12T07:33:34.293,9401,31.0,115,anime.meta.stackexchange
387,1,2013-02-14T15:22:39.943,99,<discussion>,,,,,,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,34,anime.meta.stackexchange
389,1,2013-02-14T15:39:24.473,1458,<discussion>,,,0.0,4.0,0.0,2013-02-12T15:16:56.000,2024-07-30T05:41:41.713,22240,43.0,95,anime.meta.stackexchange
391,1,2013-02-14T17:12:43.040,107,<discussion><tags>,,,0.0,6.0,0.0,2012-12-12T03:47:09.000,2013-11-25T14:50:52.470,5684,24.0,57,anime.meta.stackexchange
398,1,2013-02-16T16:09:57.640,99,<discussion><status-completed><tags>,,,0.0,2.0,0.0,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,85,anime.meta.stackexchange
403,1,2013-02-16T19:45:17.370,27,<discussion><status-completed><chat-sessions>,,,0.0,2.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,109,anime.meta.stackexchange
404,1,2013-02-16T19:53:15.797,27,<discussion><faq><chat-sessions><copyright>,,,0.0,11.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,533,anime.meta.stackexchange
405,1,2013-02-16T19:56:10.053,27,<discussion><chat-sessions>,,,0.0,3.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,33,anime.meta.stackexchange
407,1,2013-02-16T20:26:01.107,49,<discussion><status-completed>,3.0,,0.0,5.0,0.0,2012-12-11T21:07:08.000,2024-07-05T11:11:57.827,17992,57.0,118,anime.meta.stackexchange
408,1,2013-02-16T20:27:04.337,49,<discussion><status-completed>,1.0,,0.0,2.0,0.0,2012-12-11T21:07:08.000,2024-07-05T11:11:57.827,17992,57.0,93,anime.meta.stackexchange
410,1,2013-02-17T03:00:47.273,-1,<discussion><site-evaluation>,2.0,,0.0,5.0,0.0,2012-12-11T18:19:06.000,2012-12-11T18:19:14.610,1,,118,anime.meta.stackexchange
413,1,2013-02-18T09:12:45.930,99,<discussion>,9.0,,0.0,5.0,0.0,2012-12-12T01:12:03.000,2017-11-22T06:07:07.107,15325,24.0,87,anime.meta.stackexchange
415,1,2013-02-18T21:58:56.720,27,<discussion><allowed-topics>,,,0.0,12.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,317,anime.meta.stackexchange
417,1,2013-02-18T22:14:55.220,63,<discussion><chat-sessions>,1.0,,0.0,4.0,0.0,2012-12-11T21:44:54.000,2024-08-02T12:29:57.593,42611,102.0,69,anime.meta.stackexchange
419,1,2013-02-19T04:32:52.963,24,<discussion><statistics>,5.0,,0.0,13.0,0.0,2012-12-11T20:32:13.000,2024-08-01T23:05:39.790,28463,79.0,375,anime.meta.stackexchange
421,1,2013-02-19T11:24:10.103,122,<discussion><status-completed>,2.0,,0.0,6.0,0.0,2012-12-12T07:32:15.000,2019-05-16T14:49:29.907,11115,24.0,139,anime.meta.stackexchange
426,1,2013-02-19T20:59:55.257,63,<discussion><site-promotion>,3.0,,0.0,11.0,1.0,2012-12-11T21:44:54.000,2024-08-02T12:29:57.593,42611,102.0,605,anime.meta.stackexchange
428,1,2013-02-19T21:50:36.627,91,<discussion><tag-wiki>,2.0,,0.0,4.0,0.0,2012-12-12T00:07:50.000,2021-11-30T03:02:17.710,28311,23.0,68,anime.meta.stackexchange
432,1,2013-02-20T22:00:40.130,63,<bug><design>,,,0.0,2.0,0.0,2012-12-11T21:44:54.000,2024-08-02T12:29:57.593,42611,102.0,59,anime.meta.stackexchange
434,1,2013-02-20T22:14:03.417,24,<feature-request><editor>,18.0,,0.0,14.0,0.0,2012-12-11T20:32:13.000,2024-08-01T23:05:39.790,28463,79.0,167,anime.meta.stackexchange
435,1,2013-02-21T20:50:26.610,63,<discussion><retagging><identification-questions>,2.0,,0.0,11.0,1.0,2012-12-11T21:44:54.000,2024-08-02T12:29:57.593,42611,102.0,198,anime.meta.stackexchange
